design_id,pred,iface_helix,iface_strand,iface_loop,n_iface,beta_aug
133,esmfold2,0.724,0.0,0.276,29,False
133,boltz2,0.792,0.0,0.208,24,False
133,af2m,0.76,0.0,0.24,25,False
134,protenix,1.0,0.0,0.0,24,False
134,chai,0.935,0.0,0.065,31,False
134,esmfold2,0.913,0.0,0.087,23,False
134,boltz2,0.914,0.0,0.086,35,False
134,af2m,1.0,0.0,0.0,26,False
135,protenix,0.905,0.0,0.095,21,False
135,chai,0.857,0.0,0.143,35,False
135,boltz2,0.833,0.0,0.167,18,False
135,af2m,0.864,0.0,0.136,22,False
136,protenix,0.719,0.0,0.281,32,False
136,chai,0.759,0.0,0.241,29,False
136,boltz2,0.808,0.0,0.192,26,False
136,af2m,0.833,0.0,0.167,30,False
137,protenix,0.816,0.0,0.184,38,False
137,chai,0.774,0.0,0.226,31,False
137,esmfold2,0.867,0.0,0.133,30,False
137,boltz2,1.0,0.0,0.0,25,False
137,af2m,1.0,0.0,0.0,27,False
138,protenix,0.917,0.0,0.083,24,False
138,chai,0.852,0.0,0.148,27,False
138,esmfold2,0.862,0.0,0.138,29,False
138,boltz2,0.844,0.0,0.156,32,False
138,af2m,0.839,0.0,0.161,31,False
139,protenix,0.955,0.0,0.045,22,False
139,chai,0.889,0.0,0.111,27,False
139,esmfold2,0.962,0.0,0.038,26,False
139,boltz2,0.958,0.0,0.042,24,False
139,af2m,0.955,0.0,0.045,22,False
140,protenix,0.88,0.0,0.12,25,False
140,chai,0.8,0.0,0.2,35,False
140,boltz2,0.828,0.0,0.172,29,False
140,af2m,0.923,0.0,0.077,26,False
141,protenix,0.5,0.0,0.5,28,False
141,chai,0.613,0.0,0.387,31,False
141,esmfold2,0.571,0.0,0.429,28,False
141,boltz2,0.536,0.0,0.464,28,False
141,af2m,0.536,0.0,0.464,28,False
