design_id,name,cohort,team,length,scFv2_full_locid,scFv2_full_loclen,scFv2_full_lev,scFv4_full_locid,scFv4_full_loclen,scFv4_full_lev,scFv2_H1_lcs,scFv2_H2_lcs,scFv2_H3_lcs,scFv2_L1_lcs,scFv2_L2_lcs,scFv2_L3_lcs,scFv4_H1_lcs,scFv4_H2_lcs,scFv4_H3_lcs,scFv4_L1_lcs,scFv4_L2_lcs,scFv4_L3_lcs,MOR44698_H1_lcs,MOR44698_H2_lcs,MOR44698_H3_lcs,MOR44698_L1_lcs,MOR44698_L2_lcs,MOR44698_L3_lcs,max_cdr_lcs,max_cdr_lcs_which,FLAG_lcs_ge5_cdr,FLAG_locid_ge70_over10,FLAG_any
126,126_GLM_5_PXDesign,agent,GLM 5,80,28.6,7,206,23.3,30,204,2,2,1,2,3,1,1,2,1,2,3,1,2,1,1,2,3,1,3,scFv2_L2,False,False,False
127,127_GLM_5_BoltzGen,agent,GLM 5,81,35.7,42,201,35.7,42,198,2,3,2,2,2,2,1,3,1,2,2,2,2,2,1,2,2,1,3,scFv2_H2,False,False,False
128,128_GLM_5_BoltzGen,agent,GLM 5,81,42.1,19,204,42.1,19,201,2,4,2,2,2,2,1,3,1,2,2,2,2,3,1,2,2,1,4,scFv2_H2,False,False,False
129,129_GLM_5_BoltzGen,agent,GLM 5,70,30.0,40,208,30.0,40,204,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,scFv2_H2,False,False,False
130,130_GLM_5_Foundry,agent,GLM 5,80,33.3,18,206,33.3,18,204,1,1,2,3,2,2,1,2,1,3,2,2,3,2,1,3,3,2,3,scFv2_L1,False,False,False
131,131_GLM_5_Foundry,agent,GLM 5,80,55.6,9,208,55.6,9,207,1,1,2,3,2,1,1,2,1,3,2,2,2,2,1,3,3,1,3,scFv2_L1,False,False,False
132,132_GPT_5_2_PXDesign,agent,GPT 5.2,100,46.7,15,206,26.3,19,203,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,scFv2_L1,False,False,False
133,133_GPT_5_2_PXDesign,agent,GPT 5.2,90,66.7,6,208,66.7,6,206,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,scFv2_L1,False,False,False
134,134_GPT_5_2_PXDesign,agent,GPT 5.2,100,62.5,8,205,62.5,8,203,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,scFv2_H2,False,False,False
135,135_GPT_5_2_Foundry,agent,GPT 5.2,85,50.0,10,213,50.0,10,211,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,scFv2_H3,False,False,False
136,136_GPT_5_2_PXDesign,agent,GPT 5.2,90,57.1,7,207,57.1,7,206,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,scFv2_L1,False,False,False
137,137_GPT_5_2_PXDesign,agent,GPT 5.2,100,40.0,10,206,40.0,10,203,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,scFv2_H2,False,False,False
138,138_GPT_5_2_PXDesign,agent,GPT 5.2,90,18.2,11,205,18.2,11,204,1,1,2,2,2,2,1,1,1,2,2,2,3,2,1,2,2,2,3,MOR44698_H1,False,False,False
139,139_GPT_5_2_PXDesign,agent,GPT 5.2,90,44.4,9,208,44.4,9,205,1,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,scFv2_H3,False,False,False
140,140_GPT_5_2_PXDesign,agent,GPT 5.2,100,27.8,18,209,42.9,7,206,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,scFv2_L1,False,False,False
141,141_GPT_5_2_PXDesign,agent,GPT 5.2,90,45.5,11,209,45.5,11,206,1,2,2,3,2,1,1,2,1,3,2,1,1,2,2,2,2,2,3,scFv2_L1,False,False,False
